"","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"Hypoxia-12",0.294134681198336,0.182757523106599,0.162184153970602,0.148232841764669,0.201650847441402,0.154620362525907,0.29786811408988,0.141597622090435,0.196767469354738,0.157441976230477,0.151604897498121,0.201897349741292,0.249103736783408,0.174844320634875,0.222055494129416,0.303654935071773,0.203278241265921,0.301936598651178,0.244751654915926,0.223650579400066,0.184229357227304,0.282545483264169,0.241208483508278,0.215707461600685,0.205850959444389,0.227484527792536,0.153255026971659,0.141830961646157,0.158374137840257,0.253979935191434,0.257495584497638,0.188630500232143
"Chemokine-12",-0.106642621466002,0.0957899333635246,0.157901759720515,0.171495924176748,0.0775700329947597,0.196545254577214,0.0347577149511549,0.164508798602575,0.157711716374458,0.0971323672122663,0.179328136119557,0.132415733971663,0.0305848482888013,0.146434463349938,-0.136099340104807,0.099174322313515,-0.032194151517112,-0.290066798214401,0.164266190075694,-0.200532121368959,0.217377240085398,-0.198013036164844,0.105219318108301,0.100500582260464,0.0713996894610855,0.0569200038817365,0.10846218541761,0.167116840266546,0.111341139936598,0.1221453063337,0.150227243320179,0.0307789351103059
"CCR-Angiogenesis",0.0251883783689062,0.057680580380612,0.0188623698874987,-0.0376616549258753,-0.00319279430834474,0.161164265937686,-0.045242350962044,-0.0319945326464094,-0.0842568254302036,-0.0318964006588862,0.0188904075982196,-0.0442154698068903,0.0664073178424982,0.0100480145796096,0.0386955455087092,0.0729155714435916,-0.0663126905688151,0.0365892124908002,-0.115708127431395,-0.0617705814320261,0.154666526478113,0.0977394595731259,0.074604843514527,0.20304559632706,-0.0845266883958925,-0.0059650229558757,-0.00641012161357019,-0.0242841621981565,0.0554726106613396,0.0222023621771282,-0.0349875582658676,-0.0464970385168051
"CCR-Glycolysis",0.223494457108344,0.137457868178542,0.120012858729324,0.118448379994935,0.169207239854268,0.0927426111013696,0.23373468155162,0.0894305141543438,0.0904494710386347,0.096290451419331,0.0968963703314045,0.114259551503108,0.21174430611569,0.143261831005124,0.105558477994038,0.297552944843844,0.132053305277924,0.227558594891577,0.151117345646541,0.103908274397491,0.100132483877881,0.206072827166988,0.163216240964794,0.123098953767023,0.134658172112144,0.163426656535547,0.105572116040291,0.0761548502737351,0.087797845188692,0.203306252070061,0.230804449899663,0.0660042472772615
"CCR-gMDSC",-0.0894908596297312,0.0161490493959516,-0.0223211193940956,0.00436172540937063,0.167547599458143,0.0270803726511921,-0.0165548879303897,-0.0156670295666531,-0.140809350076597,-0.0174967657577546,0.00452516891470744,-0.0350336998346173,0.00663331311066229,-0.0442142384225208,-0.178715777284677,0.109086073782277,-0.113216485078162,-0.0397583252304138,-0.0259390383427383,-0.16071344475194,-0.0298976954465747,-0.11634822885415,-0.0860433097586853,-0.0538684861530109,-0.105984802524233,-0.0772076646693317,-0.0570847219105715,-0.00840764472368355,-0.0107900415811358,0.0495150714303523,0.10516204453974,-0.124316792296547
"CCR-Hypoxia",0.320250621295061,0.237733227800809,0.153145773256361,0.190395802314705,0.267768485257734,0.15842608941114,0.252218120229589,0.124580037748172,0.10648084086544,0.134609317488695,0.174153571962296,0.138724532437414,0.303690132893492,0.169476562370275,0.136795611913367,0.323261619186256,0.163562497578471,0.277689834007671,0.188920745443375,0.14262665286626,0.15054435963713,0.294596255071373,0.217220804667047,0.178700510873355,0.152702979448832,0.17663875220705,0.148377437441537,0.153713102822257,0.169778215651654,0.2638552949837,0.275176979149947,0.109328558540109
"CCR-mMDSC",-0.0844950255041323,0.301959405770196,0.247615019687171,0.298893992679626,0.323350339575581,0.193422334934567,0.049554024243965,0.217644329430424,0.0841806375745363,0.203785628234442,0.28406466452297,0.161384844827848,0.0678000325373198,0.169841147782728,-0.0388627422055595,0.114139819454492,-0.0183746928701944,-0.0968202354927756,0.210156299450057,-0.0846446344024092,0.22365719474946,-0.0958917187289939,0.12756172544047,0.165896390083755,0.040789087547884,0.0701098160699835,0.202007845574323,0.251422199972694,0.194219551581329,0.233191884920417,0.246672640560437,0.0318952047209454
"CCR-Proliferation",0.18487026956979,-0.062172893472442,0.0758961620328282,-0.0557408638566558,-0.063329760121466,-0.0660893587632152,0.161470034919499,0.0162750780636733,0.0291170426317773,0.0507412635466354,-0.0604239394933918,0.0331496910967443,-0.0124790162760711,0.0501898899785062,0.0677270946609859,0.178842398517225,0.0328326699141684,0.198255911812006,0.105986859385093,0.0526486039896508,0.0112129175829332,0.182960694834963,0.117635215616607,0.0345150916481676,0.12580949633601,0.112703637079512,0.0317046008040471,-0.0287751959846301,-0.017561285383114,0.0836101786390779,0.104041287726638,0.000864174421728037
"CCR-RAS",0.299973721553582,0.194145162138014,0.122368213591212,0.16725180007358,0.165433331581437,0.191853681610343,0.351127345351343,0.12443895516897,0.29285751826352,0.140516108687654,0.147795238345509,0.323944920376307,0.439953749934304,0.327171913596468,0.298276133914963,0.402464918274032,0.378609344615546,0.317496189625269,0.189667314868345,0.265449098649288,0.27729016660535,0.294439480737899,0.297398433804594,0.257539286277395,0.352688285068587,0.341262416565933,0.268760182897987,0.120018920481421,0.170294844168813,0.283465601513639,0.318909970042571,0.278598833236979
"CCR-Stroma",0.0812741962439875,0.365937640942048,0.211611678758588,0.253900589066217,0.341959463636093,0.409039293212117,0.0706284212430144,0.128755497455316,0.0930921512020567,0.189064385189323,0.216098930156848,0.100271753439272,0.0593324526720895,0.22522682368994,0.0531853761392697,0.194625371743595,0.0372625019173842,0.0365253106162415,-0.0365047058904333,0.0198492191953625,0.320331369779278,0.155586284578736,0.136358641278592,0.335041999299439,0.0280750836208455,0.11852181697051,0.166206876025944,0.147495495577997,0.276319675452674,0.0915193237986873,0.0253426680372625,0.0804969401982175
"immunosupression-18",0.0479432847853901,0.240703740703741,0.118854829381145,0.176306149990361,0.282089255773466,0.312804154909418,0.0639652744915903,0.0383826699616173,0.0146432514853567,0.0554912923333976,0.168828247775616,0.0367205893521683,0.0962750699592805,0.152444047180889,-0.0222350748666538,0.253606043079727,-0.0155078839289366,-0.0689310689310689,0.0483142588405746,-0.120516909990594,0.246540009697904,0.0865684023578761,0.0579975579975579,0.225239672608094,-0.0210082315345473,0.0631619842146157,0.0590286906076379,0.0613275613275613,0.112346717609876,0.121425358267463,0.125322046374678,-0.00405150405150401
"Immune Infiltration",-0.175917723894602,0.37907814728624,0.305149763531266,0.385031153817281,0.232212296374146,0.187958861947301,0.0016965693266271,0.367149613392388,0.137910066811801,0.292230313039562,0.437549733503491,0.197755423766984,-0.0279858869454245,0.220193679153217,-0.0791982583890098,0.13476465730801,-0.026034081525411,-0.212168756099392,0.301313715186548,-0.124134824712859,0.332587643570303,-0.22264844981608,0.216605359957961,0.209766534043991,0.0343292545604684,0.0659935440282261,0.253802267097065,0.361459349898656,0.250461677051272,0.2855566398919,0.291697320021019,0.0510246978455071
"IFNγ & T-eff",-0.0664840506595197,0.239286089652635,0.215394923537758,0.25032844605602,0.182642282831468,0.129966104367019,0.0782227127016659,0.245769614798465,0.134367281517684,0.128087392926586,0.328170161332703,0.181985390719428,0.0663329654737506,0.160977980976404,-0.00817173787377162,0.177288612118346,0.0304469493930317,-0.157759209627411,0.288480739923275,-0.119475537337748,0.279349939565926,-0.142630984287141,0.264858899574334,0.160820326869515,0.0863353302853539,0.143892217142257,0.187155131641179,0.269056440170266,0.135792737400809,0.315623521992748,0.279343370644805,0.146664301855063
"GSEA-COMPLEMENT",0.0657323352975527,0.188236980410893,0.162760789934703,0.178599564686521,0.190365504061156,0.169869671391411,0.114636088549132,0.146387694431173,0.112349365610235,0.154319159101768,0.188253437383872,0.140750650315868,0.135864787386527,0.153227690184212,0.0564004353134788,0.141974836757445,0.0887768752986144,0.0672641609598131,0.147315655359134,0.0336152253543558,0.173618410574932,0.0611764081329298,0.129784997611085,0.158868715825238,0.0997658862876255,0.109707490577056,0.157705048574614,0.167124011254446,0.156886977756543,0.159841004406222,0.16531746031746,0.0843541965281095
"GSEA-EMT",0.175879386314169,0.253107978977544,0.173136911397781,0.189785528481181,0.274284387110474,0.292273451186495,0.138083293518076,0.117152943674683,0.131758241758242,0.161960768699899,0.169074162552423,0.149438074003291,0.177537028189202,0.208544354196528,0.116868662738228,0.239841535276318,0.115149705367097,0.11099458512502,0.0749301905823645,0.0806529702181876,0.256749482401656,0.195404788448267,0.18429580081754,0.267687529861443,0.0805300737909433,0.163356957052609,0.165529012050751,0.140939905505123,0.214027976854064,0.151985985029463,0.156364336146945,0.128561872909699
"GSEA-Glycolysis",0.178583107713542,0.135118384031428,0.107831661092531,0.112709030100335,0.142678505069809,0.133438180177311,0.161340977862717,0.0905738705738706,0.13747491638796,0.100238626108191,0.105208631947762,0.134865424430642,0.18946541381324,0.132438020916282,0.147503317938101,0.173269363486755,0.134408610712959,0.157754684928598,0.146080586080586,0.131391675956893,0.131782130912566,0.175057333970377,0.14496336996337,0.138139034878165,0.118604873387482,0.137553485162181,0.116670913627435,0.0944810744810745,0.109269257312736,0.147792111270372,0.144300047778309,0.123686361947231
"GSEA-MYC",0.361428919734035,0.267663831419546,0.308361000244881,0.263387753076882,0.262777418251679,0.26583389396286,0.353858687214606,0.302846379684813,0.336108560639486,0.315164579666567,0.278722682314855,0.315549773498558,0.319498010276459,0.297091146357117,0.341395105904296,0.357550572695733,0.319401711818462,0.354188396062487,0.337587448869787,0.339561433881372,0.304193491077854,0.360762833169991,0.332464157500529,0.319937355318903,0.33124722241636,0.337123028882602,0.309342390901316,0.288443224723255,0.303884055589552,0.323350748860557,0.320100875969187,0.328064304962545
"GSEA-OXPHOS",0.30588867654085,0.268868184955142,0.264729521686043,0.253575940967245,0.258705207835643,0.273355099007273,0.321575887880236,0.261259489302967,0.303905345861868,0.266950416733025,0.263824653607262,0.280531135531136,0.295432659128311,0.260447523491002,0.309500185804534,0.300549715984499,0.286541912194086,0.332761586239847,0.325989807294155,0.302297074905771,0.282340075383554,0.310870626957583,0.289796676753198,0.297431385040081,0.285369751021925,0.294512395816744,0.260989276424059,0.265425757817062,0.276207198598503,0.29124701385571,0.29846950151298,0.303926315230663
"GSEA-WNTβ",0.111618345679941,0.0934857543965204,0.094523621504406,0.0835645971997643,0.0789443337219067,0.117201268504243,0.167862470073578,0.0876182955414332,0.109943719525188,0.0800122839343688,0.0818686621792702,0.0883891750962033,0.11176374735206,0.101920304842126,0.117146116145853,0.102216122037128,0.0720014038782135,0.0925556850800336,0.0917196254653481,0.0793667506486669,0.0995876107747653,0.119582847616541,0.1105341004525,0.0974742726782737,0.113116233595307,0.0914125271061307,0.100322139911506,0.0806590706827611,0.0774351646423245,0.0935521879191266,0.0870254076887401,0.0855375474748994
"PIP ARG",-0.206179066834805,-0.20422446406053,-0.211906263135771,-0.274558638083228,-0.269735182849937,-0.193169398907104,-0.238261874737285,-0.177522068095839,-0.24312736443884,-0.193747372845733,-0.185981504833964,-0.198465741908365,-0.163650693568726,-0.287063892391761,-0.291530054644809,-0.254539722572509,-0.203478352248844,-0.251860025220681,-0.307461118116856,-0.21463850357293,-0.187736443883985,-0.21057166876839,-0.241319882303489,-0.194661622530475,-0.257566204287516,-0.242065994115174,-0.271059268600252,-0.193999579655317,-0.201944094157209,-0.243295502311896,-0.199611181168558,-0.208711643547709
"PD1 Neoadjuvant",-0.0717944486213241,0.25520785579374,0.191330631605328,0.244655376866607,0.274087097109395,0.186444446481947,0.0584898135074176,0.151762846961167,0.0788910690163143,0.132016393743238,0.234436029560083,0.122877432013643,0.0646917157195337,0.168135196425406,-0.0416254072457656,0.155926992218779,-0.0152010403486574,-0.118349592601422,0.175058374439942,-0.125284231566208,0.249294005464581,-0.0763001301963948,0.141933171963154,0.168995531757529,0.0316902915054493,0.0920940837046681,0.149356811471953,0.186910525125459,0.146401414434074,0.20783745621917,0.216495058038252,0.0213593909498224
"Immunoinhibitors",-0.173977481892286,0.0627064757488107,0.0603088470824469,0.0760404465374226,0.0271197380058805,0.0324480673152774,-0.00975306576148022,0.0643319867090575,-0.0304281309014415,0.0516840771639615,0.107439103100423,-0.00458489709081344,-0.0625176296225468,0.0337484760834748,-0.113374608562618,-0.0130518968278632,-0.131527741256902,-0.156355030717376,0.0729543661702483,-0.174498601582483,0.0981330528530108,-0.173396600769727,-0.00606698061339134,0.0152630698252575,-0.0695407931537303,-0.0536179571151961,0.0491310687734563,0.0725073506561805,0.0380417373843616,0.0609423182654842,0.0594028637678388,-0.0739511868620467
"Immunostimulators",-0.113526315668978,0.0735829099825317,0.106220795662934,0.102113586985139,0.0829134166527394,0.0572502306584584,-0.0782991027786618,0.106884725716758,0.0136048425684477,0.0882809477258106,0.109542735346034,0.0461351257918511,-0.0175643840446161,0.0571861270670546,-0.0845148617308428,-0.0105896843584948,-0.076549990498932,-0.164226532934365,0.0701648149123268,-0.124406755602768,0.0769529273591838,-0.118534408747393,-0.0104328595009535,0.03930122506542,-0.0130828561813032,-0.0201926312921682,0.112296900362414,0.111331912370391,0.0706959589553863,0.0252110267334871,0.0589833170403372,-0.048509248087767
"MHC-I non-classical",-0.271951945641133,-0.136142341774369,-0.145441490665826,-0.0897691849672516,-0.224212812160695,-0.220044832054919,-0.301985919932752,-0.192129872859094,-0.187016216594865,-0.122167349655003,-0.0747259290392631,-0.14731533046128,-0.154618051907114,-0.117438968862737,-0.267030927112886,-0.15144828552415,-0.271601695212077,-0.26675072676964,-0.158575881755455,-0.392157892893419,-0.215999439599314,-0.221375783685335,-0.257539140485447,-0.196718153479738,-0.297642814612448,-0.0984028580435011,-0.109260621344261,-0.0525375643585164,-0.227750341494168,-0.178067318132465,-0.030524324892298,-0.175545515043256
"MHC-II",-0.14088281660536,0.270219953456948,0.261954808197583,0.250138878462578,0.25153517003228,0.194812701749118,0.121417311012687,0.259755273628106,0.169604384055251,0.173763230988665,0.309503791006681,0.242459274829217,-0.0863073342842129,0.161151565197808,0.0320096088882216,0.103971173335335,0.0346295323173936,-0.134081525411005,0.228616470234967,-0.142241573455446,0.117776443209969,-0.159927933338338,0.154237669844606,0.183244501163576,0.0363486224757902,0.204856992718264,0.0455521357255462,0.28654004954583,0.206921402297125,0.162607912318895,0.281067487425869,0.0485999549583365
"MHC-II non-classical",-0.207008879314874,-0.0546419376871749,0.0409157778595072,-0.0169967950401934,0.0927336730940997,-0.166605369621184,-0.228077549519256,-0.00480743970997743,-0.124770136079441,-0.0368570377764935,-0.0181789523459255,-0.0779304366100982,-0.149726790311564,-0.140873745599748,-0.245731098618189,-0.191273052067462,-0.30099038512058,-0.185808858298744,-0.0330084589922766,-0.249435191509484,-0.109034308832029,-0.256173488152157,-0.0986838648662849,-0.149897546366837,-0.198943939473546,0.0709819786686282,-0.0137787001523669,-0.084905164713918,-0.0594362423159775,-0.0449482477801713,-0.0303026322702674,-0.196908001891452
"MHC-I",0.178995570903085,0.215636964191878,0.202694992868403,0.211830943622851,0.116778019668193,0.190586292320396,0.174318744838976,0.213392387958862,0.242774566473988,0.233173185196307,0.249313114631034,0.218009158471586,0.227535470310037,0.241138052698746,0.17857518204339,0.224307484423091,0.211388033931387,0.152571128293672,0.258786877862022,0.0500938367990391,0.21211620749193,0.205164777419113,0.244290969146461,0.193243750469184,0.194947826739734,0.271248404774416,0.214495908715562,0.240822761053975,0.151490128368741,0.278777869529315,0.253524510171909,0.209834096539299
"CAF-S1",-0.158129367620228,0.0912108276819626,-0.0393972253778099,-0.0229749733209405,0.0221906663453705,0.158896462299333,-0.126180476665863,-0.0656511411752556,-0.0904552078671669,-0.016394712382526,-0.055408677292391,-0.121912974629075,-0.11474806935408,-0.104757478742814,-0.150333344808198,-0.0539381734310992,-0.129650475633126,-0.237989833270222,-0.20356179788174,-0.2073244058889,-0.0195503000677016,-0.160160992346266,-0.15274191882681,0.0330544941306069,-0.173743215486477,-0.0999093485719531,-0.0746044040529221,-0.0381533500866352,0.0573680103732773,-0.172330659689949,-0.176374401872698,-0.0970589922774163
"detox-iCAF",-0.134658110666947,0.208415737428992,0.0778497790868925,0.083324216284452,-0.0190889964233116,0.31250788975384,-0.0925057858194824,0.0487208079107933,0.0105764780138859,0.108996423311593,0.0574142646749422,-0.0696823059120555,-0.0720429202608879,-0.0234546602146013,-0.119749631811488,-0.0669850620660636,-0.10831054071113,-0.19073427309068,-0.127607826635809,-0.157811908268462,0.0857942352198612,-0.114325689038502,-0.0604186829370924,0.153898590363981,-0.0813023353671365,-0.0701304439301494,0.0119335156743109,0.0832716179255207,0.230925731117189,-0.127372185987797,-0.0766021460130444,0.0242478434672838
"ecm-myCAF",-0.0856665586277394,0.180882096287616,-0.00903233134153875,0.0460675215593065,0.199201620029863,0.251615736008266,-0.0546178330715467,-0.0585931115488073,-0.0509694416049598,0.00656128715915794,-0.0103938988478618,-0.0678429058593112,-0.105538795670686,-0.0225621293087447,-0.0688194115479762,0.0162612436665642,-0.0951255052204964,-0.136627689545987,-0.190733030270291,-0.140288547042642,0.0758724143375967,-0.0715550125906904,-0.0792604042872063,0.133080411434397,-0.125978929638956,-0.0435812411179536,-0.0458888417949975,-0.0378856504913,0.0719428446372524,-0.105634368567875,-0.157562309373624,-0.0832952426859031
"IFNγ-iCAF",-0.0257261014031984,0.198974493820668,0.210776181483518,0.176231683120981,0.130248846604355,0.260588530585901,-0.00974828484689122,0.152193244567686,0.0955776540052111,0.140221834436928,0.180859608443095,0.0828986685152869,0.0629383501063754,0.19551311165826,-0.0706810412831975,0.0646355747854565,0.00508450266535987,-0.171135228169149,0.0992398345803552,-0.112215236774795,0.215810484545694,-0.0378361580570363,0.0799034255253029,0.216190567255516,0.0404082901058972,0.0567685798293214,0.167092964884182,0.169990199125093,0.17681256424354,0.0826070327253604,0.0425501398417518,0.0246958143092774
"IL-iCAF",-0.101484081427597,0.14034617251598,0.0990926464647837,0.0945643650731688,0.0351535847762846,0.224104102948814,-0.0777462465163802,0.0760252280264636,-0.0240399466382432,0.0994728320089072,0.0910561350744926,-0.0309800300753922,0.0108658386316036,0.0149935673963739,-0.118940368576307,-0.0458615785168011,-0.105555800714885,-0.131467821706558,-0.0185204672208776,-0.126450730329641,0.0800154789828679,-0.0932982114306857,-0.0459091017098166,0.0849273404323931,-0.0787323527714507,-0.0739953087819466,0.0412195809133279,0.0865312481966646,0.123747000098441,-0.0373447434256754,-0.00226414069580749,-0.00852532137559281
"TGFβ-myCAF",-0.040826465602899,0.131102538624895,0.0331404523934771,0.026173359050792,0.0704112845091277,0.210197362012196,-0.0109396613867945,-0.0276579577999883,-0.00597541255089917,0.0290139692559471,0.0226605879946227,-0.052027198160812,-0.0470746390788474,0.0492294503867361,-0.0179963761762815,0.0102071034738052,-0.040012079412395,-0.167549243088433,-0.127928770432716,-0.145773179807898,0.0933017709977204,-0.0119878426559121,-0.0873770140471877,0.137874802735402,-0.107243750852378,-0.0681200927387146,-0.00804839558127302,0.0171176963391587,0.116120170670407,-0.103117267714848,-0.12160656184854,-0.096715179145479
"wound-myCAF",-0.138069816242832,0.232984443466447,0.0270437483655753,0.0711652411294592,0.156118648067711,0.333972752147873,-0.0814326170566962,0.0132683390418604,-0.034686477487993,0.115739589113616,0.013190205570757,-0.0750543745176454,-0.141070779357456,-0.05271458002462,-0.107862459577888,-0.0294642914091451,-0.130326629800425,-0.21552559907643,-0.187188662036063,-0.151020837718375,0.105504104399074,-0.136333339711576,-0.108460419815924,0.1970478304408,-0.139721781060447,-0.0320538578799998,-0.0140082151763903,0.0570709196787917,0.204805367928921,-0.160342639189198,-0.195883801177424,-0.0208807715122175
"High-HLA-high-pts",0.131270248021669,0.109697551240517,0.078399420697206,0.106251046871234,0.10812647838645,0.0901642106897299,0.22276832586395,0.0707733467605208,0.261983100944942,0.0756489580311875,0.100649519766972,0.249818201873542,0.149374737005519,0.187849297523869,0.281726326411387,0.0824357476396883,0.255031109949056,0.244061176090891,0.200997234217267,0.262483045792701,0.184975508319818,0.116411570531545,0.244552439567443,0.205107352815011,0.232232297152102,0.254697898495365,0.0853866478468156,0.0890164823492403,0.0835467078197706,0.25579736862532,0.250381724998672,0.281784542665365
"High-HLA-Low-pts",0.0470651390946862,0.0542312246595328,0.0273960065112618,0.00808064762040395,0.0399022489051275,0.112487937458289,-0.0496102555113376,0.00267270318706736,-0.0620505362296215,0.0191117678368131,0.00469583222636405,-0.0484916459195514,0.0647901140566385,0.00808407123678367,-0.0712438591734203,0.0302366951420253,-0.0423804906818292,-0.0725366167183861,-0.0671503551887873,-0.0545249709449089,0.0407542729014829,0.0570153094994855,-0.0314228640970372,0.059687099722185,-0.0580035934277521,-0.0635402658369647,0.0363181790377903,-0.00460430754848068,0.0591390928603448,-0.0714841970432736,-0.0686307269113594,-0.0527786983501821
"MHC-I HLA",0.0931867150139261,0.167408954753271,0.154855746492196,0.191201587051343,0.0598034578800778,0.137717431289085,0.0849558568500709,0.149843659677335,0.170266435440643,0.199997372431552,0.227527720847128,0.164971885017605,0.174982920805087,0.215151873456303,0.0810473487834358,0.180362867202691,0.151650112985443,0.0664971885017605,0.176795943034316,-0.0310315833727469,0.137671448841242,0.141442009564349,0.154698092385307,0.144135267223711,0.131995900993221,0.225701560775658,0.18833753744285,0.230667665142677,0.0933772137264176,0.197448631036839,0.227284670765673,0.155039676283567
