"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3"
"MHC-II",0.185345883154633,0.0829651082315612,0.120721046859528,0.152700731481383,0.192463718736358,0.335358127748379,0.238466125065216,0.335283595438623,0.0236693320840299,0.315101310703904,0.205352484587783,0.28774795302335,0.187672355966311,0.306562037500399,0.319669076544682,0.287668096977182,0.289009678552795,0.112309543329891,0.272037606874008,0.16884762401644,0.16349194518681,0.117697164577987,0.240813892822539,0.256023807749231,0.348704734931164,0.145093112149831,0.238652455839606,0.107661921442946,0.283467668948775,0.261235745695759,-0.0734462675284022,0.346889340814958,0.325530510333372,0.2791873848742
"MHC-II non-classical",0.0911521407012706,0.0158829228304207,-0.119396728397362,-0.158987591757648,-0.0384636881916757,0.230614450199352,0.103560383053247,0.359671349256623,-9.31549726124192e-06,0.307439356112829,0.0370197861161828,0.145675746171331,0.118465178671238,0.252515184260536,0.333774266870365,0.140049185825539,0.132848306442598,-0.00435965271826211,0.0290922979468644,0.241970041360808,0.26572455937698,0.133798487163245,0.245873234713269,-0.0174292953757871,0.216948615717107,0.07519469389276,0.246012967172188,-0.0271639900137869,0.0232049036777583,0.0514029138875434,-0.037634608935425,0.267708760293624,0.235113835376532,0.216324477400604
"MHC-I",0.165456403922529,0.212566147424909,0.207742842236395,0.224693618969538,0.171658556841534,0.343934667106762,0.325051374056368,0.322639721462111,0.282663784750689,0.352729479658003,0.291873848742001,0.301089236469724,0.279938031708174,0.303916140504051,0.330774390698368,0.264685526890193,0.279059615200332,0.243592883229166,0.269673867907452,0.225263258765532,0.154691808899158,0.246504967046072,0.264020059838797,0.259963372693491,0.294972263333298,0.245562665701296,0.23894526134222,0.237039363707024,0.268869983709367,0.280433139194412,0.145721313046348,0.296851542286438,0.26645833111511,0.267049265856749
"CAF-S1",-0.023002891615615,-0.00388921487515992,0.0249858995135129,0.0294423846807763,-0.0661337197489707,0.0674795644534456,0.0310848678617811,0.0417146841734839,-0.183744374027798,-0.0300909257883676,-0.00255190360631119,0.0388620785498686,0.0319743769372931,-0.048102976624888,-0.0347522134106598,0.00279246522015453,0.0261813932093358,-0.0565096297789272,0.116906442662627,0.0771690774299568,0.179500005688957,-0.0876550443982465,-0.0201169649576498,0.0783422216515205,0.00715020634660057,-0.00157299663376281,0.0351516594687814,0.0204623659234722,0.0993637307855474,0.0915877391596922,-0.094342413450645,0.0862088302366444,-0.00509080388214428,-0.00242715290453765
"detox-iCAF",0.0696554295942721,0.0337410501193317,0.0787932577565632,0.0581115751789976,0.0752297136038186,0.146530429594272,0.129883651551313,0.154030429594272,-0.122204653937948,0.0473926014319809,0.0829653937947494,0.168036992840096,0.170786097852029,0.0168093675417661,0.0619152744630072,0.139446599045346,0.189124403341289,-0.024442124105012,0.162829653937947,0.183647076372315,0.273632159904535,-0.00132309069212411,0.106245525059666,0.21255369928401,0.134236276849642,0.10179146778043,0.170774164677804,0.102195704057279,0.182869928400955,0.158335322195704,-0.0760590692124105,0.112638723150358,0.121156026252983,0.168251789976134
"ecm-myCAF",0.0770445757013923,0.131941933150798,0.119219002026255,0.152172914765259,0.0328764213922038,0.161357074385953,0.148644666777642,0.110331414226646,-0.0979375821551778,0.0424183805647875,0.0637428511840868,0.125468057301503,0.117270238156739,0.015441825045586,0.0278940147979772,0.080433147928111,0.103903459175454,0.0416520772464359,0.295648621706379,0.249194951008249,0.33272679612505,-0.00659537462761101,0.0377765532231616,0.12514948176466,0.031712137823622,0.114468112789134,0.118344593495702,0.0943452363868751,0.224229343772661,0.244140793166985,0.0290908255985489,0.242413023138342,0.0434525552054095,0.0622198113803218
"IFNγ-iCAF",0.177525092454807,0.211191861943195,0.1684524878902,0.131128202868387,0.0828889966068832,0.243163767885048,0.255543051228946,0.24178753868526,-0.0191536529394019,0.22637614445661,0.180396191302638,0.241901094542878,0.215068014874123,0.187228186258724,0.211569816514072,0.242675647183645,0.276557664342444,0.145719283140514,0.237752068580959,0.281623611483039,0.290203010755604,0.147649732720019,0.257397231948856,0.222198305814399,0.225693114447356,0.174186211268131,0.241226538851357,0.122355589151517,0.230799738313068,0.236284316749659,0.00435918904169019,0.239163889915223,0.225833788121718,0.248933083397456
"IL-iCAF",0.109585108018411,0.0772372335711637,0.104410261975168,0.0780612752412215,0.0672515214816021,0.157220142336525,0.133220069992675,0.180891276235949,-0.0114766736297622,0.105677409728439,0.101860141251368,0.160482397836919,0.13100680032193,0.0774011376070463,0.102088476528942,0.145464266659432,0.173944005859852,0.0424703616288218,0.156562265447673,0.155980123527124,0.198129459320149,0.0840556414638778,0.14206862718501,0.189389417903294,0.165069450096308,0.106597533074704,0.17176916885959,0.110913295895391,0.127162402900988,0.119471347313782,0.0674470759519998,0.142154535507266,0.137452185236429,0.164252190662218
"TGFβ-myCAF",0.0776777747390114,0.119893145924324,0.201207771506869,0.192648119141742,0.0668763415462901,0.170070085002583,0.1650478329452,0.148210304733017,-0.0446229029058894,0.0698819577390474,0.129505316459892,0.152077825569285,0.163663812988793,0.0953813513670304,0.0947017727058005,0.144179795518648,0.1388992483197,0.108692529331002,0.232455958606477,0.241704858434925,0.273493117194169,0.0472003292917741,0.069810132352088,0.22799173455547,0.172827074855866,0.154979847453928,0.180046907502714,0.124001005555417,0.24194519722975,0.272559387163698,0.0545458563658012,0.186870319263845,0.130631041274735,0.128893419413297
"wound-myCAF",0.0804881853449445,0.0824832930920666,0.0788514057314416,0.097321695016413,0.00511493629219684,0.171599612960401,0.114339455431667,0.140697485146903,-0.147016268323341,0.0394873081757594,0.0769749871137516,0.162451507012832,0.138982709819773,-0.0107701907164754,0.0238372986806291,0.0751754338370274,0.102169863360553,0.0178542361845854,0.273464275702414,0.220146858016151,0.337386849696608,-0.031244630729859,0.021633071991174,0.192040141793947,0.0853838293408571,0.0711140048651239,0.13853056075527,0.0869188754148468,0.218757630015463,0.226766320320483,-0.061734172521997,0.238571932394672,0.0757315771863668,0.109693623793892
"High-HLA-high-pts",0.0899263083141432,0.0810895263593728,0.162967125460533,0.179299264832614,0.144970071054518,0.106370543541788,0.128735772573708,0.105303041102246,0.24953881950753,0.113545326250776,0.133924903552207,0.0922254072708093,0.182088378186794,0.212474778432498,0.196627793811013,0.0712727156095747,0.0654079317213129,0.178114806890591,0.0728846604921073,0.116626990349389,0.0706069439818781,0.139780940076018,0.0633268689230115,0.134514378723299,0.0637452845226077,0.155976199393257,0.0973194511579567,0.130866079794106,0.0954306683893574,0.0899037919500921,0.101797291815966,0.0870306067042393,0.0779182827692472,0.0624667114186152
"High-HLA-Low-pts",0.109803290898168,0.148690879262469,0.124504928353783,0.106972429513153,0.106553406835177,0.0640590831491981,0.0996871128163843,0.0775529773448618,-0.037527429966751,0.0469422763747972,0.0725415168684383,0.0697469750115303,0.0896294583410254,0.0418098036715395,0.0474163334468913,0.088564931386226,0.108303246807212,0.0664133498531676,0.143513364000337,0.135405544802438,0.149166839541276,0.0503165032763704,0.0698830542915091,0.127706280645593,0.0841897763541791,0.096474499884856,0.107499934973771,0.116624066556408,0.190623598367556,0.185626887743158,0.105906475153319,0.110195351481044,0.0761084434497017,0.0844568596962355
